Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,3980,3980,3980,3980,3310.131592,0
2017-01-03,3950,3990,3920,3950,3285.180664,71660600
2017-01-04,3880,3980,3880,3950,3285.180664,68494500
2017-01-05,3960,4030,3940,3950,3285.180664,74018400
2017-01-06,3970,4010,3960,4000,3326.765381,44136900
2017-01-09,4000,4030,3990,4020,3343.399414,85713200
2017-01-10,4030,4030,3960,4000,3326.765381,44608000
2017-01-11,3960,4000,3950,3960,3293.497559,47226300
2017-01-12,3920,3970,3920,3960,3293.497559,45738500
2017-01-13,3930,3970,3930,3950,3285.180664,64704600
2017-01-16,3970,4000,3950,3950,3285.180664,42188800
2017-01-17,3980,4000,3960,3970,3301.814697,45793400
2017-01-18,3960,4010,3950,3960,3293.497559,56558200
2017-01-19,3940,3980,3920,3970,3301.814697,53435400
2017-01-20,3920,3940,3820,3830,3185.377686,101523500
2017-01-23,3800,3880,3780,3840,3193.694824,77653500
2017-01-24,3850,3950,3850,3910,3251.913086,113430200
2017-01-25,3940,3940,3890,3900,3243.595947,47799100
2017-01-26,3900,3960,3860,3940,3276.864014,60944600
2017-01-27,3900,3920,3880,3890,3235.279541,47240400
2017-01-30,3860,3910,3860,3860,3210.328613,30060700
2017-01-31,3870,3920,3860,3870,3218.645508,57849200
2017-02-01,3910,3980,3900,3940,3276.864014,77648400
2017-02-02,3940,3980,3900,3950,3285.180664,73895600
2017-02-03,3900,3970,3900,3950,3285.180664,59225000
2017-02-06,3940,3960,3910,3960,3293.497559,52999700
2017-02-07,3930,3960,3920,3920,3260.22998,66017500
2017-02-08,3900,3920,3860,3870,3218.645508,115706000
2017-02-09,3870,3910,3860,3870,3218.645508,78090700
2017-02-10,3870,3910,3860,3890,3235.279541,91636700
2017-02-13,3920,3920,3900,3920,3260.22998,54547600
2017-02-14,3900,3900,3840,3860,3210.328613,146309400
2017-02-15,3860,3860,3860,3860,3210.328613,0
2017-02-16,3880,3890,3840,3870,3218.645508,127779400
2017-02-17,3890,3890,3850,3870,3218.645508,80814700
2017-02-20,3860,3880,3850,3870,3218.645508,26820400
2017-02-21,3880,3890,3860,3880,3226.962402,49368500
2017-02-22,3880,3890,3850,3880,3226.962402,74260200
2017-02-23,3860,3870,3830,3840,3193.694824,122760100
2017-02-24,3830,3870,3830,3840,3193.694824,71119600
2017-02-27,3850,3890,3850,3870,3218.645508,54712100
2017-02-28,3860,3900,3850,3850,3202.011475,65928100
2017-03-01,3870,3890,3840,3850,3202.011475,79662500
2017-03-02,3870,3870,3830,3830,3185.377686,59748700
2017-03-03,3820,3870,3810,3850,3202.011475,92350100
2017-03-06,3860,3920,3850,3920,3260.22998,99064100
2017-03-07,3920,3950,3890,3950,3285.180664,61945400
2017-03-08,3920,3930,3880,3880,3226.962402,31336300
2017-03-09,3960,3960,3880,3960,3293.497559,83224900
2017-03-10,3970,3990,3910,3950,3285.180664,70318300
2017-03-13,3940,3970,3920,3950,3285.180664,54433000
2017-03-14,3950,4070,3950,4050,3368.349854,122779100
2017-03-15,4030,4080,4010,4040,3360.033203,80434200
2017-03-16,4060,4150,4060,4140,3443.201904,123306900
2017-03-17,4140,4140,4030,4110,3418.251465,123085600
2017-03-20,4100,4110,4050,4100,3409.934326,87628300
2017-03-21,4060,4120,4060,4090,3401.617676,75349600
2017-03-22,4060,4080,4010,4070,3384.983887,110927600
2017-03-23,4070,4100,4050,4090,3401.617676,72319900
2017-03-24,4080,4110,4050,4080,3393.300781,71877500
2017-03-27,4080,4090,4070,4080,3393.300781,56070700
2017-03-29,4080,4150,4080,4150,3451.519043,84076600
2017-03-30,4140,4170,4110,4140,3443.201904,61410200
2017-03-31,4180,4190,4130,4130,3434.88501,88859000
2017-04-03,4130,4200,4130,4170,3468.153076,66564400
2017-04-04,4170,4290,4170,4250,3534.687744,108165500
2017-04-05,4250,4250,4250,4250,3534.687744,0
2017-04-06,4180,4200,4130,4170,3468.153076,79905800
2017-04-07,4130,4140,4110,4130,3434.88501,72954300
2017-04-10,4110,4140,4090,4100,3409.934326,53211800
2017-04-11,4110,4180,4110,4150,3451.519043,54580200
2017-04-12,4170,4170,4110,4150,3451.519043,33441400
2017-04-13,4150,4170,4090,4090,3401.617676,47225000
2017-04-17,4090,4090,4010,4010,3335.082275,51373500
2017-04-18,4060,4120,4050,4070,3384.983887,68193500
2017-04-19,4070,4070,4070,4070,3384.983887,0
2017-04-20,4030,4150,4030,4110,3418.251465,110208600
2017-04-21,4180,4420,4170,4420,3676.075928,237062100
2017-04-25,4500,4520,4330,4420,3676.075928,213322700
2017-04-26,4380,4410,4360,4400,3659.44165,103930700
2017-04-27,4380,4400,4360,4370,3634.491211,78695300
2017-04-28,4400,4410,4370,4370,3634.491211,124845700
2017-05-02,4410,4450,4380,4410,3667.758789,140198900
2017-05-03,4400,4400,4330,4340,3708.230957,92896600
2017-05-04,4360,4390,4340,4370,3733.864014,100510700
2017-05-05,4350,4360,4330,4340,3708.230957,43566800
2017-05-08,4370,4380,4310,4340,3708.230957,85508700
2017-05-09,4390,4450,4330,4340,3708.230957,90061700
2017-05-10,4340,4410,4330,4370,3733.864014,85484500
2017-05-12,4410,4440,4380,4400,3759.496582,84813500
2017-05-15,4420,4420,4320,4360,3725.319336,88965200
2017-05-16,4390,4390,4340,4340,3708.230957,79436500
2017-05-17,4380,4380,4300,4340,3708.230957,65470700
2017-05-18,4300,4340,4270,4310,3682.598389,78913600
2017-05-19,4300,4650,4300,4530,3870.573486,140860000
2017-05-22,4590,4670,4440,4470,3819.306885,92800400
2017-05-23,4500,4520,4370,4400,3759.496582,70551200
2017-05-24,4360,4410,4330,4360,3725.319336,76441800
2017-05-26,4430,4490,4430,4470,3819.306885,123903300
2017-05-29,4470,4470,4360,4390,3750.952637,69694400
2017-05-30,4350,4380,4330,4330,3699.686768,57720500
2017-05-31,4350,4370,4300,4350,3716.775391,184808900
2017-06-01,4350,4350,4350,4350,3716.775391,0
2017-06-02,4400,4450,4340,4380,3742.408691,168414800
2017-06-05,4340,4380,4300,4340,3708.230957,88200300
2017-06-06,4350,4350,4300,4310,3682.598389,99538800
2017-06-07,4350,4350,4290,4320,3691.142334,99176400
2017-06-08,4320,4320,4300,4300,3674.053955,88979800
2017-06-09,4370,4380,4320,4330,3699.686768,137960200
2017-06-12,4320,4340,4310,4330,3699.686768,52481100
2017-06-13,4340,4360,4330,4360,3725.319336,61967400
2017-06-14,4380,4380,4330,4360,3725.319336,72198600
2017-06-15,4350,4370,4330,4360,3725.319336,50887900
2017-06-16,4330,4440,4330,4370,3733.864014,267351200
2017-06-19,4400,4420,4390,4400,3759.496582,48458800
2017-06-20,4420,4510,4400,4490,3836.395508,93396600
2017-06-21,4480,4530,4460,4520,3862.028809,116596300
2017-06-22,4540,4540,4500,4520,3862.028809,76420700
2017-06-23,4520,4520,4520,4520,3862.028809,0
2017-06-26,4520,4520,4520,4520,3862.028809,0
2017-06-27,4520,4520,4520,4520,3862.028809,0
2017-06-28,4520,4520,4520,4520,3862.028809,0
2017-06-29,4520,4520,4520,4520,3862.028809,0
2017-06-30,4520,4520,4520,4520,3862.028809,0
2017-07-03,4530,4790,4520,4790,4092.724609,213322100
2017-07-04,4710,4730,4590,4590,3921.838623,126977200
2017-07-05,4550,4590,4530,4580,3913.294434,76950600
2017-07-06,4570,4680,4570,4650,3973.104736,74712800
2017-07-07,4640,4690,4630,4630,3956.016113,74859600
2017-07-10,4670,4670,4560,4570,3904.750244,40905200
2017-07-11,4590,4640,4560,4600,3930.383301,59015400
2017-07-12,4580,4640,4580,4620,3947.471924,42386500
2017-07-13,4660,4680,4580,4600,3930.383301,83010800
2017-07-14,4580,4620,4570,4600,3930.383301,61198800
2017-07-17,4570,4650,4570,4650,3973.104736,53983200
2017-07-18,4660,4660,4590,4630,3956.016113,63087200
2017-07-19,4630,4630,4570,4600,3930.383301,31882000
2017-07-20,4620,4650,4600,4630,3956.016113,65946300
2017-07-21,4600,4620,4530,4560,3896.205566,61852600
2017-07-24,4500,4650,4500,4650,3973.104736,139361700
2017-07-25,4680,4740,4640,4720,4032.914795,82776400
2017-07-26,4700,4740,4650,4700,4015.826416,65286900
2017-07-27,4700,4720,4650,4650,3973.104736,79556300
2017-07-28,4670,4720,4660,4700,4015.826416,77012600
2017-07-31,4680,4750,4670,4690,4007.281982,105620500
2017-08-01,4700,4820,4690,4770,4075.63623,98006400
2017-08-02,4800,4840,4780,4800,4101.269043,76646000
2017-08-03,4760,4790,4670,4700,4015.826416,57453500
2017-08-04,4700,4710,4660,4670,3990.193115,53596700
2017-08-07,4670,4730,4660,4670,3990.193115,50259300
2017-08-08,4650,4690,4650,4690,4007.281982,55006100
2017-08-09,4670,4720,4670,4710,4024.370361,67040700
2017-08-10,4720,4730,4700,4710,4024.370361,36139000
2017-08-11,4690,4700,4660,4680,3998.738037,61681900
2017-08-14,4720,4730,4700,4710,4024.370361,45942500
2017-08-15,4750,4750,4710,4730,4041.459717,62541500
2017-08-16,4750,4780,4730,4770,4075.63623,72564900
2017-08-17,4770,4770,4770,4770,4075.63623,0
2017-08-18,4770,4820,4770,4780,4084.181152,72171800
2017-08-21,4800,4800,4730,4770,4075.63623,36963300
2017-08-22,4800,4810,4770,4790,4092.724609,45279100
2017-08-23,4800,4810,4750,4800,4101.269043,55475800
2017-08-24,4800,4800,4760,4780,4084.181152,59747100
2017-08-25,4800,4810,4770,4770,4075.63623,34666200
2017-08-28,4740,4770,4720,4750,4058.547607,42681600
2017-08-29,4740,4760,4710,4730,4041.459717,66770700
2017-08-30,4720,4760,4720,4740,4050.003174,41010800
2017-08-31,4740,4750,4690,4690,4007.281982,60803000
2017-09-01,4690,4690,4690,4690,4007.281982,0
2017-09-04,4710,4710,4660,4680,3998.738037,74663400
2017-09-05,4670,4680,4620,4650,3973.104736,71280300
2017-09-06,4650,4730,4650,4710,4024.370361,60257800
2017-09-07,4700,4730,4690,4700,4015.826416,47238900
2017-09-08,4670,4720,4670,4720,4032.914795,40939600
2017-09-11,4710,4720,4700,4710,4024.370361,45419200
2017-09-12,4720,4730,4700,4720,4032.914795,68810000
2017-09-13,4650,4730,4650,4690,4007.281982,55115400
2017-09-14,4690,4700,4660,4670,3990.193115,53421400
2017-09-15,4650,4700,4650,4690,4007.281982,112759200
2017-09-18,4680,4720,4660,4710,4024.370361,61345400
2017-09-19,4690,4720,4680,4710,4024.370361,54676900
2017-09-20,4690,4710,4680,4690,4007.281982,58141200
2017-09-21,4690,4690,4690,4690,4007.281982,0
2017-09-22,4690,4690,4610,4640,3964.560059,100046700
2017-09-25,4620,4670,4610,4650,3973.104736,33070000
2017-09-26,4640,4710,4640,4690,4007.281982,83557100
2017-09-27,4690,4710,4680,4700,4015.826416,60995800
2017-09-28,4720,4740,4710,4710,4024.370361,105241200
2017-09-29,4700,4750,4670,4680,3998.738037,202031900
2017-10-02,4690,4690,4660,4680,3998.738037,79696400
2017-10-03,4650,4700,4640,4690,4007.281982,113933700
2017-10-04,4660,4710,4660,4690,4007.281982,101963100
2017-10-05,4680,4690,4640,4660,3981.648682,164687600
2017-10-06,4680,4680,4630,4660,3981.648682,83595800
2017-10-09,4640,4660,4610,4620,3947.471924,73027700
2017-10-10,4650,4650,4510,4530,3870.573486,95524700
2017-10-11,4540,4550,4310,4400,3759.496582,365951800
2017-10-12,4380,4490,4370,4440,3793.673828,163091000
2017-10-13,4440,4450,4400,4430,3785.129883,122491000
2017-10-16,4380,4480,4380,4450,3802.218506,167517000
2017-10-17,4400,4410,4320,4400,3759.496582,286827400
2017-10-18,4400,4400,4190,4300,3674.053955,379725700
2017-10-19,4230,4250,4180,4210,3597.155029,231274800
2017-10-20,4250,4290,4200,4270,3648.421143,107642900
2017-10-23,4270,4320,4240,4250,3631.332031,118213500
2017-10-24,4270,4270,4230,4230,3614.243896,69942200
2017-10-25,4210,4230,4060,4090,3494.623535,308355300
2017-10-26,4010,4260,4010,4160,3554.43335,348271000
2017-10-27,4190,4200,4080,4150,3545.88916,122923500
2017-10-30,4150,4180,4080,4080,3486.079102,140445100
2017-10-31,4150,4150,4030,4030,3443.357178,111757900
2017-11-01,4070,4080,3910,3950,3375.002686,267366500
2017-11-02,3980,4110,3970,4030,3443.357178,154764900
2017-11-03,4050,4100,4010,4090,3494.623535,80926400
2017-11-06,4100,4210,4070,4190,3580.066406,177511800
2017-11-07,4180,4210,4160,4190,3580.066406,84694700
2017-11-08,4160,4160,4100,4100,3503.16748,145225500
2017-11-09,4100,4180,4100,4160,3554.43335,91933800
2017-11-10,4130,4160,4120,4120,3520.256104,56993800
2017-11-13,4130,4160,4100,4100,3503.16748,92109100
2017-11-14,4100,4110,4070,4080,3486.079102,64809800
2017-11-15,4090,4180,4080,4130,3528.800537,96128400
2017-11-16,4150,4230,4150,4200,3588.61084,134137000
2017-11-17,4200,4230,4200,4200,3588.61084,80261800
2017-11-20,4220,4220,4150,4150,3545.88916,48453900
2017-11-21,4170,4200,4150,4200,3588.61084,96842900
2017-11-22,4220,4220,4190,4200,3588.61084,69602300
2017-11-23,4200,4270,4200,4250,3631.332031,62887900
2017-11-24,4220,4320,4220,4320,3691.142334,87879900
2017-11-27,4320,4350,4280,4300,3674.053955,82769500
2017-11-28,4270,4290,4230,4240,3622.787842,99928100
2017-11-29,4220,4240,4180,4200,3588.61084,79872900
